word,x,y
bothered,0.5189208,-2.783284
bothering,-0.19081034,-1.9857234
bott,-0.93592393,2.2950754
bottle,-0.492226,2.1962337
bottlebrush,-0.6082013,3.2282443
bottles,-1.5411334,1.9056456
bottom,-1.2321564,1.1164621
bought,-0.79749614,-0.2152514
boulder,-2.02438,2.0036411
boulders,-1.4549711,2.4141796
bounced,-1.315945,1.9824438
bouncing,-1.2597493,1.3897121
bound,0.3053157,-0.40920812
boundaries,0.49337918,-1.64605
boundary,-3.0169818,-1.1284739
bounded,-1.8602479,-3.0764475
bounding,-1.3726964,4.2592597
bout,-0.86993134,-1.1127028
bow,0.2646079,1.2374796
bowed,-0.47019148,1.4148264
bowing,2.9674516,0.81772673
bowl,-0.77360505,1.6621788
bowler,0.14644563,1.8874727
bowls,0.6148665,-3.2622721
bows,-2.0276692,3.7739823
bowtruckle,0.27551392,0.81369054
bowtruckles,-3.3898551,0.05296592
box,-1.6044291,1.7533301
boxes,-3.3807664,2.8581629
boxing,-1.952222,-0.92412627
boy,0.504387,-0.17438689
boys,-1.1960654,0.03407785
braced,0.9247765,2.0325844
bracingly,-2.8294506,-2.9564993
bracket,-2.9000328,2.7143846
brackets,-2.3823726,1.5314071
brain,1.486974,2.33927
brains,0.67264843,-3.276908
brambles,-1.9306718,1.6739923
branch,-2.4713209,1.3886925
branches,-2.1497426,2.4959502
